id,code_coding1_medicationType_code,code_coding1_medicationType_display,code_coding1_system,code_coding1_code,code_coding1_display,code_coding2_system,code_coding2_code,code_coding2_display,code_coding3_system,code_coding3_code,code_coding3_display,code_text,form_coding1_system,form_coding1_code,form_coding1_display,form_coding2_system,form_coding2_code,form_coding2_display,form_coding3_system,form_coding3_code,form_coding3_display,ingredient_itemCodeableConcept_coding1_system,ingredient_itemCodeableConcept_coding1_code,ingredient_itemCodeableConcept_coding1_display,ingredient_itemCodeableConcept_coding2_system,ingredient_itemCodeableConcept_coding2_code,ingredient_itemCodeableConcept_coding2_display,ingredient_strength_numerator_value,ingredient_strength_numerator_unit,ingredient_strength_numerator_system,ingredient_strength_numerator_code,ingredient_strength_denominator_value,ingredient_strength_denominator_unit,ingredient_strength_denominator_system,ingredient_strength_denominator_code
039a17ba-767a-43f7-9063-c7076707d159,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4865cf27-60df-4109-9215-d70bed2b6e50,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710b6aef-b5d4-4404-9cb6-086f02da8ef7,,,,310965,Ibuprofen 200 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9e34b516-b8ca-4bdc-aef2-0241b60eecae,,,,997488,Fexofenadine hydrochloride 30 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccfd5be5-2bd7-4074-8060-6d0aac8259a6,,,,1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6187b37-c770-4934-8c61-827e72649cee,,,,313820,Acetaminophen 160 MG Chewable Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd21cec7-42c4-4493-9630-ce4ece39b6c4,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3c9eebb-95ff-472e-94ca-89edb8ea4499,,,,198405,Ibuprofen 100 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70155832-9bac-4580-a1b6-10a02e75e53a,,,,284215,Clindamycin 300mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75677237-6389-4c49-ad93-a25614bac18f,,,,1649987,doxycycline hyclate 100 MG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06e37ecd-bdf0-4270-a104-8b1b0e50b892,,,,308192,Amoxicillin 500 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa0681b5-265c-49fa-9993-8e0f047517a6,,,,198405,Ibuprofen 100 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8beb9754-a507-4f7f-9ff6-759bbcf55e8e,,,,834061,Penicillin V Potassium 250 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b3eb243-cbab-4129-aac9-60afa6417f40,,,,748962,Camila 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13fba17b-0091-4968-8b99-e2a8ccc7e2ad,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cce24de2-1098-45a7-a62d-a88c89f1ffce,,,,1014676,cetirizine hydrochloride 5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4eab4aaf-4d73-4867-bdb0-b069574eb07e,,,,749762,Seasonique 91 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f36fa89a-3c62-4a87-986d-c4f45b229119,,,,1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d12c056a-51cd-4129-99b2-e6f029345910,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c925e5f-222b-4ee8-b25d-a62e5b9f0cf7,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e8abbc7-23db-4e33-b51c-adb988951bab,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39be1049-e954-43a6-93d4-103712362537,,,,751905,Trinessa 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78f818c2-ebfa-477b-b3f3-6b3be191d119,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ed61f43-48e0-4436-b802-a99fe9aeecb3,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
698f23ce-6770-4109-bee7-c2b00334e1c1,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4dda8a37-995d-4a57-8b4a-ea572f2f6370,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8202674-7fbd-4b05-a868-626ab75d2856,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a86dad9e-4e0a-4eaa-b7d8-35246ff70d58,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10f7f3ba-141b-49b8-b57a-ffe73efa925f,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a80fae58-e134-4ed5-a5a2-84e0d006ed68,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7f08568-8aaf-46e6-920d-57af2b8b16d0,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8248daad-9537-4a2e-b7f7-772841603dfd,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ec88a71-a372-408d-9adc-a7dd5716a25c,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2bf3ba3-1b27-45f7-92a2-bb81bf8552a9,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa96fbbc-aed5-4a17-88f8-6a0c49ce323f,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5f4d180-4aab-4c26-a3fc-a5afa1398e24,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed7bb402-215b-426b-b5c6-82e1f0f25e22,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6a7da53-970f-4fc6-996a-8ecc68b6d4f1,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d064f875-37ba-4328-a34f-519af7106eb7,,,,562508,amoxicillin 875 MG / clavulanate 125 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffec1ec6-9d7a-4aa8-bcaf-2b9019b57a28,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e0d599c9-32c0-4f5c-a35b-e8b0e705a56d,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bdbd8527-9495-4b47-a609-32afb072bab1,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce960e58-3a62-4dda-a902-e6bb1147e482,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b7b170c0-acc0-4270-bb47-6057db5b2dbc,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cd98ef8c-2b1c-483c-ac37-878ba76e6dc2,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7d2d6947-8513-477c-b31a-6971589d4fe8,,,,1665021,ceftriaxone 1000 MG Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6b99a310-79e5-4e24-a6dc-10751a33ba76,,,,310325,ferrous sulfate 325 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e209a671-e45d-4bff-afd6-517dc5647947,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3bba2f4-6b2d-4714-ad61-986430991cbc,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f75a3c2-1370-43ec-a578-616ca0914d07,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5438ab00-15bd-4fe5-9c58-cf213ed0a83c,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fd392837-c946-483f-be63-ca22d8b49e1d,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2d936572-64c7-4a8d-b5b9-4a96b135eab3,,,,2001499,Vitamin B12 5 MG/ML Injectable Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f05f3324-1224-4df1-9c24-5be4b9e76a89,,,,309078,cefpodoxime 200 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115cf85f-54c1-4250-b3eb-47b478a207a9,,,,1665021,ceftriaxone 1000 MG Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16df1475-ee25-41e6-a6b3-0a9fcfe9542d,,,,834061,Penicillin V Potassium 250 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0ac9efd9-f62b-4317-a940-1a7f7d66f9dc,,,,748856,Yaz 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ce7c1286-1b53-4075-90a1-87671c9eac16,,,,749762,Seasonique 91 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0d33c54-ebc5-4cf6-9c92-28e57dbe4e64,,,,748856,Yaz 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143513f3-f233-4749-8a7e-14900bc1509f,,,,313782,Acetaminophen 325 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ffe89ec1-a5ed-49b0-b4ce-e904fbe3c7b0,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362e5c20-0f72-4666-b432-70a9071b929d,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1ec88dc-68b5-4467-9f9f-ba77ad9205c0,,,,284215,Clindamycin 300mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a0d576f6-1322-4b26-99a2-279ede213e06,,,,748962,Camila 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88884c56-4682-40d2-82eb-4bba28828ea6,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9ef24cf8-58d6-4670-b3fa-fd10875c8771,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d330fc4-f361-43ff-92f4-c3391c612a41,,,,1000126,1 ML medroxyPROGESTERone acetate 150 MG/ML Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b49b5a74-6f48-4ff7-b25c-88ef31e7c287,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2eb0c67f-076e-4e02-bc3b-1534ef030885,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11f6f27f-c6f0-408c-8d61-3a08e7757ee9,,,,978950,Natazia 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93ee4f95-1bc7-4562-85a1-1af7ad9cfa78,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9571e27f-b420-4acb-b3bb-c07bad3c7bdc,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300e5749-24b0-447f-95e1-073740135be7,,,,197454,cephalexin 500 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c496cf8a-f25c-4832-9590-e88864f894bf,,,,351109,budesonide 0.25 MG/ML Inhalation Suspension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760efc9d-2ab2-4874-80b9-942294f9ce17,,,,630208,albuterol 0.83 MG/ML Inhalation Solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a9c61dc-2e71-4edf-9c20-e7c098e74f67,,,,1367439,NuvaRing 0.12/0.015 MG per 24HR 21 Day Vaginal System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77d1d539-dead-423a-8533-cc1afd02b1fa,,,,749762,Seasonique 91 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a88cee8-bc34-4e30-8bdc-85bbc685117b,,,,1000126,1 ML medroxyPROGESTERone acetate 150 MG/ML Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5d8bd6ff-1f43-4ef4-b0ba-f4a6278b45a7,,,,751905,Trinessa 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2935600a-a43e-4d7b-a99c-7a86b0d75cc2,,,,1000126,1 ML medroxyPROGESTERone acetate 150 MG/ML Injection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0d60c08d-a147-4098-8808-2427175e9503,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2a2b4ea5-e9f1-475d-95a0-396f0a1bcca6,,,,748879,Levora 0.15/30 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59729239-9461-4164-9e73-6c8140eb1728,,,,748879,Levora 0.15/30 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24c10508-250f-4738-91f9-bf47d49e07c0,,,,313782,Acetaminophen 325 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206de6da-c759-46c3-a14a-b8b12889e301,,,,389221,Etonogestrel 68 MG Drug Implant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca50d41d-b159-4972-aad8-611a1f81d789,,,,665078,Loratadine 5 MG Chewable Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7fedf85-f429-45e5-a8de-2a4722d236da,,,,1870230,NDA020800 0.3 ML Epinephrine 1 MG/ML Auto-Injector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5fff2bd-69a7-4432-9d4f-459742c43bc6,,,,856987,Acetaminophen 300 MG / Hydrocodone Bitartrate 5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c09e470c-705e-4476-93ae-20c2da0b626a,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29faa888-6454-49c6-96ef-54556ff1ee0d,,,,748879,Levora 0.15/30 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcefde85-1c03-4645-a8e6-dddb62873f1c,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6c1eac0a-eb8b-4930-b2b8-7d00792fa154,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0a5595cc-d1d4-4116-9c48-109f90a4f9d5,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fb8ecdd6-6229-4067-8b3e-aebe6d7def03,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2ce93fec-8a8c-47a4-84c5-1f88890334c9,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443e132d-7b5c-42f5-9d0f-f9fd1b604ddb,,,,849574,Naproxen sodium 220 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc471010-846d-4a9b-b9dd-66a22d5c5019,,,,748856,Yaz 28 Day Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43a94c67-db3a-4dd1-84fa-38b4680c1f8c,,,,849574,Naproxen sodium 220 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bf2dd7f1-6a81-4479-ba8d-410fdcfe96ba,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d96af6ec-5c53-4ab3-994c-a3e6b9d83511,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817a9f8a-7b9e-468a-bdea-e159756916d4,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c05fc4d4-2984-4b1b-bc2c-3e78e5407454,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8956aa2c-db2f-4c3d-922f-6ec929dc7ab8,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c98795d4-92f3-4db0-a32c-1d2e2ee166aa,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0e58bc6c-eb3e-4d7a-b465-754ca8779655,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21a0ae61-250a-4085-bc73-5e65683b2d31,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f807a24e-8a30-4d90-aa98-97e0cc63dc2f,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f6d6910f-30b6-46f7-8b66-f997072efbc6,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f274ab4-4dda-4e54-9f12-5174f695717c,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4c966887-4958-47b7-b697-218cc49884bb,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9a779005-12df-49ce-a69e-37d1a0e84c8a,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a2cd304-7f26-4d64-b54f-10eca18096bc,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3228615-aa3f-49b9-a351-6d7410c484a8,,,,313782,Acetaminophen 325 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1e9f61fb-cf9a-48db-997e-6d6a044bca49,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121c27a8-5fdd-4ed3-81cc-56fe9de531cf,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6537dec0-fb24-42d4-9e0e-44e3b8bc4cc8,,,,1049625,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cc2dd0a0-c7fb-4b0c-82ea-16f126f6609c,,,,1049504,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8723cb55-93b3-4545-ade0-2c2f71a12077,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cb03e1d7-f9fb-4906-aab3-1c97466fb797,,,,1049625,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5158954b-a988-428b-bf66-4fe15e2a9c07,,,,1049504,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18239c12-39fe-4670-9e9c-d8a9b01ba47d,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58d0a96a-7c84-4223-b289-1d362cc182ae,,,,313782,Acetaminophen 325 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de6bd815-cc3e-4916-8e29-37d6c957b73e,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25d458d2-6b1b-420c-9ef8-aef486d76c0f,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871b346-0141-4857-b3c4-77b2b891980b,,,,1049625,Acetaminophen 325 MG / Oxycodone Hydrochloride 10 MG Oral Tablet [Percocet],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
be1d53b3-93c1-4665-afd5-0473ff56b705,,,,1049504,Abuse-Deterrent 12 HR Oxycodone Hydrochloride 10 MG Extended Release Oral Tablet [Oxycontin],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c0758602-8315-4bb8-9955-bf6dd42bc04c,,,,351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119a984a-69f9-466b-bbd8-f571c43d4e95,,,,834102,Penicillin V Potassium 500 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c544ab3-7c07-415c-89d7-2b0acfffeef9,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cdeaf94f-dbc8-4eb0-bb43-1d5408c47062,,,,562251,Amoxicillin 250 MG / Clavulanate 125 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ef50fc78-09c1-4e99-9ec5-43ebf0ee989f,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
905c32fc-cfdc-4e72-95a2-a769bdea4236,,,,308136,amLODIPine 2.5 MG Oral Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27cece5f-3c34-48c3-936a-27dc0677baf2,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95cecb7f-1fa2-4229-908c-fba0d62623bc,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9d5c8a34-3833-4c5c-8be1-f3de9521e7f1,,,,206905,Ibuprofen 400 MG Oral Tablet [Ibu],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f3d5a15-d32d-45df-a210-c7658ae99056,,,,351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181417ea-1dd4-4a87-b5c5-4db498fd798f,,,,351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98bf74d6-e6d1-4d0c-b5cc-dc72921ca596,,,,351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1a4f381f-8d92-4825-af78-5dfab40629d2,,,,351266,buprenorphine 2 MG / naloxone 0.5 MG Sublingual Tablet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3427592-a6de-4809-aa4d-831b83ee5cea,,,,1535362,sodium fluoride 0.0272 MG/MG Oral Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
